add_to_cart_order,reordered,order_product_count,product_name
1,1,4,Organic 1% Low Fat Milk
2,1,4,Macaroni & Cheese
3,1,4,Sparkling Natural Mineral Water
4,1,4,Chocolate Milk 1% Milkfat
1,1,2,Organic Half & Half
2,0,2,Chunky Peanut Butter
1,0,9,Organic Cream Of Chicken Condensed Soup
2,0,9,Broccoli Crown
3,0,9,Just Mayo
4,1,9,Banana
5,0,9,Organic Hearty Split Pea & Uncured Ham Soup
6,1,9,Colby Jack Cheese
7,0,9,Instant Oatmeal Variety Pack
8,1,9,Boneless Skinless Chicken Breasts
9,0,9,Berry Medley
